"x","place","code","lon","lat","ligne","arr","transit"
"http://fr.dbpedia.org/resource/Invalides_(métro_de_Paris)","Invalides",1009,2.31446,48.8609,"13, 8","http://fr.dbpedia.org/resource/7e_arrondissement_de_Paris",7283347
"http://fr.dbpedia.org/resource/Place_d'Italie_(métro_de_Paris)","Place d'Italie",14,2.35569,48.8315,"10, 5, 6, 7","13",11534907
"http://fr.dbpedia.org/resource/Marx_Dormoy_(métro_de_Paris)","Marx Dormoy",2007,2.35997,48.8905,"12","18",3753736
"http://fr.dbpedia.org/resource/Colonel_Fabien_(métro_de_Paris)","Colonel Fabien",2215,2.37116,48.8771,"2","10",4808282
"http://fr.dbpedia.org/resource/Château-Landon_(métro_de_Paris)","Château-Landon",2111,2.36207,48.8785,"7","10",1644923
"http://fr.dbpedia.org/resource/Voltaire_(métro_de_Paris)","Voltaire",24,2.38011,48.8578,"9","11",5341865
"http://fr.dbpedia.org/resource/Passy_(métro_de_Paris)","Passy",17,2.28578,48.8574,"6","16",3908764
"http://fr.dbpedia.org/resource/Pont_Marie_(métro_de_Paris)","Pont Marie",12,2.35762,48.8533,"7","4",1624879
"http://fr.dbpedia.org/resource/Commerce_(métro_de_Paris)","Commerce",17,2.29421,48.8451,"13, 8","15",2814912
"http://fr.dbpedia.org/resource/Notre-Dame-des-Champs_(métro_de_Paris)","Notre-Dame-des-Champs",414,2.32879,48.8446,"12","6",2077450
"http://fr.dbpedia.org/resource/Michel-Ange_-_Molitor_(métro_de_Paris)","Michel-Ange - Molitor",710,2.26119,48.845,"10, 13, 8, 9","16",2097256
"http://fr.dbpedia.org/resource/Grands_Boulevards_(métro_de_Paris)","Grands Boulevards",11,2.34434,48.8714,"8, 9","2",7092775
"http://fr.dbpedia.org/resource/Vaneau_(métro_de_Paris)","Vaneau",2,2.3212,48.8488,"10","6",964320
"http://fr.dbpedia.org/resource/Saint-Sulpice_(métro_de_Paris)","Saint-Sulpice",2,2.33065,48.8509,"4","6",2551607
"http://fr.dbpedia.org/resource/Porte_Maillot_(métro_de_Paris)","Porte Maillot",3001,2.28184,48.878,"1","16",8998134
"http://fr.dbpedia.org/resource/Saint-Georges_(métro_de_Paris)","Saint-Georges",3110,2.33738,48.8784,"12","9",1279016
"http://fr.dbpedia.org/resource/Télégraphe_(métro_de_Paris)","Télégraphe",23,2.39843,48.8755,"11","19",2506008
"http://fr.dbpedia.org/resource/Richard-Lenoir_(métro_de_Paris)","Richard-Lenoir",814,2.37184,48.8598,"5","11",1767814
"http://fr.dbpedia.org/resource/Saint-Fargeau_(métro_de_Paris)","Saint-Fargeau",24,2.40452,48.8721,"3b","20",884413
"http://fr.dbpedia.org/resource/Esplanade_de_la_Défense_(métro_de_Paris)","Esplanade de la Défense",2910,2.25044,48.8878,"1","",9843051
"http://fr.dbpedia.org/resource/Front_Populaire_(métro_de_Paris)","Front Populaire","FPO",2.36579,48.9069,"12","",1486925
"http://fr.dbpedia.org/resource/Pont_de_Neuilly_(métro_de_Paris)","Pont de Neuilly",2909,2.25989,48.8845,"1","",6902931
"http://fr.dbpedia.org/resource/Chaussée_d'Antin_-_La_Fayette_(métro_de_Paris)","Chaussée d'Antin -",2101,2.33393,48.8731,"7, 9","http://fr.dbpedia.org/resource/9e_arrondissement_de_Paris",7600254
"http://fr.dbpedia.org/resource/Alexandre_Dumas_(métro_de_Paris)","Alexandre Dumas",513,2.39499,48.8562,"2, 3","http://fr.dbpedia.org/resource/11e_arrondissement_de_Paris, http://fr.dbpedia.org/resource/20e_arrondissement_de_Paris",3919412
"http://fr.dbpedia.org/resource/Quai_de_la_Gare_(métro_de_Paris)","Quai de la Gare",9,2.37277,48.8371,"6","13",3420407
"http://fr.dbpedia.org/resource/Sully_-_Morland_(métro_de_Paris)","Sully - Morland",1208,2.36189,48.8514,"7","4",1575223
"http://fr.dbpedia.org/resource/Abbesses_(métro_de_Paris)","Abbesses",3105,2.33871,48.8844,"12","http://fr.dbpedia.org/resource/18e_arrondissement_de_Paris",2588279
"http://fr.dbpedia.org/resource/Filles_du_Calvaire_(métro_de_Paris)","Filles du Calvaire",812,2.36612,48.8641,"8","3",1784167
"http://fr.dbpedia.org/resource/Alma_-_Marceau_(métro_de_Paris)","Alma — Marceau",18,2.30023,48.8649,"9","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris",4060044
"http://fr.dbpedia.org/resource/Reuilly_-_Diderot_(métro_de_Paris)","Reuilly - Diderot",12,2.3867,48.8473,"1, 8","12",5662974
"http://fr.dbpedia.org/resource/Gare_de_Lyon_(métro_de_Paris)","Gare de Lyon",908,2.37407,48.8447,"1, 5","12",34895701
"http://fr.dbpedia.org/resource/Trocadéro_(métro_de_Paris)","Trocadéro",1715,2.28706,48.8633,"6, 9","16",8973095
"http://fr.dbpedia.org/resource/Bourse_(métro_de_Paris)","Bourse",1104,2.34137,48.8687,"3","2",3288142
"http://fr.dbpedia.org/resource/Saint-Lazare_(métro_de_Paris)","Saint-Lazare",6,2.32619,48.8756,"12, 13, 3, 7, 8, 9","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris, http://fr.dbpedia.org/resource/9e_arrondissement_de_Paris",44939493
"http://fr.dbpedia.org/resource/École_vétérinaire_de_Maisons-Alfort_(métro_de_Paris)","École vétérinaire",25,2.42188,48.8152,"8","",3175166
"http://fr.dbpedia.org/resource/Pigalle_(métro_de_Paris)","Pigalle",3106,2.33757,48.8823,"12, 2","9",6201914
"http://fr.dbpedia.org/resource/Saint-Placide_(métro_de_Paris)","Saint-Placide",412,2.32691,48.8468,"12, 4","6",3287084
"http://fr.dbpedia.org/resource/Cluny_-_La_Sorbonne_(métro_de_Paris)","Cluny - La Sorbonne",105,2.34458,48.851,"10, 4","5",2509657
"http://fr.dbpedia.org/resource/Miromesnil_(métro_de_Paris)","Miromesnil",18,2.31446,48.8737,"13, 9","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris",5916541
"http://fr.dbpedia.org/resource/Maraîchers_(métro_de_Paris)","Maraîchers",5,2.40699,48.8529,"9","20",2903399
"http://fr.dbpedia.org/resource/Hôtel_de_Ville_(métro_de_Paris)","Hôtel de Ville",115,2.35149,48.8568,"1, 11","4",11953352
"http://fr.dbpedia.org/resource/Argentine_(métro_de_Paris)","Argentine",1811,2.28932,48.8755,"1","16",2932686
"http://fr.dbpedia.org/resource/Félix_Faure_(métro_de_Paris)","Félix Faure",1612,2.291,48.8424,"8","15",1895590
"http://fr.dbpedia.org/resource/Porte_des_Lilas_(métro_de_Paris)","Porte des Lilas",23,2.40666,48.8772,"11, 3, 3b, 7","19",3724568
