,url,name,lon,lat,altitude,range,category,group,short_name,hint
155,http://fr.dbpedia.org/resource/Col_de_Bretolet,Col de Bretolet,6.79611,46.1425,1936.0,Chablais,col,3,Col de Bretolet,Chablais
156,http://fr.dbpedia.org/resource/Col_des_Limouches,Col des Limouches,5.15833,44.8869,1086.0,Vercors,col,3,Col des Limouches,Vercors
157,http://fr.dbpedia.org/resource/Col_du_Grand_Cucheron,Col du Grand Cucheron,6.248,45.49,1188.0,Belledonne,col,3,Col du Grand Cucheron,Belledonne
158,http://fr.dbpedia.org/resource/Col_des_Lèques,Col des Lèques,6.46389,43.8656,1146.0,Préalpes de Digne,col,2,Col des Lèques,Préalpes de Digne
159,http://fr.dbpedia.org/resource/Col_de_Carri,Col de Carri,5.3625,44.9442,1202.0,Vercors,col,3,Col de Carri,Vercors
160,http://fr.dbpedia.org/resource/Col_de_Proncel,Col de Proncel,5.38194,44.9281,1100.0,Vercors,col,3,Col de Proncel,Vercors
161,http://fr.dbpedia.org/resource/Col_de_Romeyère,Col de Romeyère,5.47972,45.1436,1069.0,Vercors,col,3,Col de Romeyère,Vercors
162,http://fr.dbpedia.org/resource/Col_de_Saint-Alexis,Col de Saint-Alexis,5.40722,44.8722,1222.0,Vercors,col,3,Col de Saint-Alexis,Vercors
163,http://fr.dbpedia.org/resource/Col_de_Tourniol,Col de Tourniol,5.18444,44.9189,1145.0,Vercors,col,3,Col de Tourniol,Vercors
164,http://fr.dbpedia.org/resource/Col_de_l'Allimas,Col de l'Allimas,5.56694,44.8819,1352.0,Vercors,col,3,Col de l'Allimas,Vercors
165,http://fr.dbpedia.org/resource/Col_de_l'Arzelier,Col de l'Arzelier,5.59556,44.9911,1154.0,Vercors,col,3,Col de l'Arzelier,Vercors
166,http://fr.dbpedia.org/resource/Col_de_la_Chau,Col de la Chau,5.35667,44.9072,1337.0,Vercors,col,3,Col de la Chau,Vercors
167,http://fr.dbpedia.org/resource/Col_de_la_Croix-Perrin,Col de la Croix-Perrin,5.55972,45.13,1218.0,Vercors,col,3,Col de la Croix-Perrin,Vercors
168,http://fr.dbpedia.org/resource/Col_de_la_Portette,Col de la Portette,5.29472,44.9567,1175.0,Vercors,col,3,Col de la Portette,Vercors
169,http://fr.dbpedia.org/resource/Col_Lacroix,Col Lacroix,7.02328,44.7645,2298.0,Alpes cottiennes,col,3,Col Lacroix,Alpes cottiennes
170,http://fr.dbpedia.org/resource/Col_du_Chaussy,Col du Chaussy,6.35647,45.3438,1533.0,Vanoise,col,3,Col du Chaussy,Vanoise
171,http://fr.dbpedia.org/resource/Col_de_Couz,Col de Couz,5.81722,45.4692,624.0,0,col,3,Col de Couz,0
172,http://fr.dbpedia.org/resource/Col_du_Galibier,Col du Galibier,6.40862,45.0643,2642.0,0,col,0,Col du Galibier,0
173,http://fr.dbpedia.org/resource/Col_de_la_Croix-Haute,Col de la Croix-Haute,5.67755,44.7248,1176.0,0,col,3,Col de la Croix-Haute,0
174,http://fr.dbpedia.org/resource/Col_d'Ornon,Col d'Ornon,5.96757,45.0088,1367.0,0,col,2,Col d'Ornon,0
175,http://fr.dbpedia.org/resource/Hirmentaz,Hirmentaz,6.495,46.2297,1607.0,Chablais,ski,2,Hirmentaz,
