,name,lat,lon,population,country
558,Yamoussoukro,6.8184,-5.2755,206.499,Côte D’Ivoire
559,Bridgetown,13.102,-59.6165,191.152,Barbados
560,Suva,-18.133,178.4417,175.399,Fiji
561,Reykjavik,64.15,-21.95,166.212,Iceland
562,Malabo,3.75,8.7833,155.963,Equatorial Guinea
563,Willemstad,12.2004,-69.02,146.813,Curaçao
564,Podgorica,42.466,19.2663,145.85,Montenegro
565,Moroni,-11.7042,43.2402,128.698,Comoros
566,Sri Jayewardenepura Kotte,6.9,79.95,115.826,Sri Lanka
567,Praia,14.9167,-23.5167,113.364,Cabo Verde
568,Male,4.1667,73.4999,112.927,Maldives
569,Juba,4.83,31.58,111.975,South Sudan
570,Luxembourg,49.6117,6.13,107.26,Luxembourg
571,Thimphu,27.473,89.639,98.676,Bhutan
572,Mbabane,-26.3167,31.1333,90.138,Swaziland
573,Sao Tome,0.3334,6.7333,88.219,Sao Tome And Principe
574,Honiara,-9.438,159.9498,76.328,Solomon Islands
575,Oranjestad,12.5304,-70.029,68.775,Aruba
576,Apia,-13.8415,-171.7386,61.916,Samoa
577,Andorra la Vella,42.5,1.5165,53.998,Andorra
578,Kingstown,13.1483,-61.2121,49.485,Saint Vincent And The Grenadines
579,Port-Vila,-17.7334,168.3166,44.04,Vanuatu
580,Banjul,13.4539,-16.5917,43.094,"Gambia, The"
581,Nuku`alofa,-21.1385,-175.2206,42.62,Tonga
582,Castries,14.002,-61.0,37.963,Saint Lucia
583,Monaco,43.7396,7.4069,36.371,Monaco
584,Vaduz,47.1337,9.5167,36.281,Liechtenstein
585,Saint John's,17.118,-61.85,35.499,Antigua And Barbuda
586,Saint George's,12.0526,-61.7416,33.734,Grenada
587,Victoria,-4.6166,55.45,33.576,Seychelles
588,San Marino,43.9172,12.4667,29.579,San Marino
589,Tarawa,1.3382,173.0176,28.802,Kiribati
590,Majuro,7.103,171.38,25.4,Marshall Islands
591,Roseau,15.301,-61.387,23.336,Dominica
592,Basseterre,17.302,-62.717,21.887,Saint Kitts And Nevis
593,Belmopan,17.252,-88.7671,15.22,Belize
594,Pago Pago,-14.274,-170.7046,12.576,American Samoa
595,Lobamba,-26.4667,31.2,9.782,Swaziland
596,Funafuti,-8.5167,179.2166,4.749,Tuvalu
597,Palikir,6.9166,158.15,4.645,"Micronesia, Federated States Of"
598,Capitol Hill,15.2137,145.7546,2.5,Northern Mariana Islands
599,Hagta,13.4745,144.7504,1.051,Guam
600,Al Quds,31.7764,35.2269,,West Bank
601,Philipsburg,18.0255,-63.045,,Sint Maarten
602,Gitega,-3.4271,29.9246,,Burundi
