,name,population,lat,lon
290,SAINT-ALPINIEN,0.30000000000000004,45.962112522,2.24239447602
291,SAINTE-FEYRE-LA-MONTAGNE,0.1,45.8948418395,2.23233670208
292,SAINT-MEDARD-LA-ROCHETTE,0.6000000000000001,46.0220936926,2.14641995346
293,AURIAC-DU-PERIGORD,0.4,45.1125569337,1.12728719792
294,BEAUREGARD-ET-BASSAC,0.30000000000000004,44.9936188028,0.632602848395
295,BEYNAC-ET-CAZENAC,0.5,44.8572702356,1.13222078955
296,CHAMPEAUX-ET-LA-CHAPELLE-POMMIER,0.2,45.4680082324,0.581009876861
297,COMBERANCHE-ET-EPELUCHE,0.2,45.2768659289,0.280086546492
298,LE FLEIX,1.4,44.880919054,0.262559942743
299,FLORIMONT-GAUMIER,0.1,44.708224337,1.23864373133
300,HAUTEFORT,1.1,45.2589200751,1.1354185818
301,MONTPON-MENESTEROL,5.5,45.0196715762,0.155545015448
302,SAINT-AVIT-RIVIERE,0.1,44.7401593829,0.906593699917
303,SAINTE-FOY-DE-BELVES,0.1,44.731269814,1.03294229921
304,SAINT-LAURENT-SUR-MANOIRE,0.9,45.1400143536,0.79552191075
305,SAINT-PAUL-LA-ROCHE,0.5,45.4833291569,0.989443506607
306,SALON,0.2,45.0281445298,0.774813216159
307,SERGEAC,0.2,44.9987285651,1.11549602522
308,TEYJAT,0.30000000000000004,45.5905740595,0.579549924927
309,AMANCEY,0.7000000000000001,47.0311972081,6.07639327081
310,BETHONCOURT,6.0,47.5411126642,6.8003750959
311,BOUJAILLES,0.4,46.8844605742,6.07920196701
312,BRECONCHAUX,0.1,47.3418237888,6.27061644005
313,CHOUZELOT,0.30000000000000004,47.1232109749,5.9086321902
314,CORCELLE-MIESLOT,0.1,47.3615588639,6.18318655579
315,CROUZET-MIGETTE,0.1,46.9567035839,6.01221278274
316,DANNEMARIE-SUR-CRETE,1.3,47.2062426754,5.86495393288
317,ECURCEY,0.30000000000000004,47.4031119157,6.8050274649
318,ETALANS,1.1,47.1617288935,6.26148839275
319,ETOUVANS,0.8,47.4565278158,6.72060828166
320,FALLERANS,0.30000000000000004,47.1385232143,6.29267245041
321,FERTANS,0.2,47.0554375235,6.06471764594
322,GONDENANS-LES-MOULINS,0.1,47.4652888265,6.38278266131
323,METABIEF,1.0,46.7648830862,6.35324497812
324,LE PUY,0.1,47.3456027875,6.23053427438
325,RIGNOSOT,0.1,47.3835277032,6.1996281942
326,LA TOUR-DE-SCAY,0.2,47.3825738249,6.22493151895
327,VAL-DE-ROULANS,0.1,47.3602096754,6.26791337918
328,VERCEL-VILLEDIEU-LE-CAMP,1.5,47.1891393068,6.38184480034
329,VOILLANS,0.2,47.3909535657,6.4185381191
330,ALIXAN,2.4,44.9822063371,5.01703375369
331,BEAUFORT-SUR-GERVANNE,0.4,44.7778627524,5.14914685983
332,BREN,0.5,45.1431766661,4.94152540117
333,CHATEAUNEUF-DE-GALAURE,1.6,45.2359387102,4.95905904864
334,CONDILLAC,0.2,44.6388037984,4.82780234545
335,CURNIER,0.2,44.387658631,5.23421106174
336,EYGALAYES,0.1,44.2211440236,5.59423968429
337,MANAS,0.2,44.6017015334,4.97988711048
338,MARIGNAC-EN-DIOIS,0.2,44.8102170504,5.3344028956
339,LA MOTTE-DE-GALAURE,0.8,45.1987797497,4.90084017437
340,PONSAS,0.5,45.1572964733,4.84232290007
341,ROCHEBAUDIN,0.1,44.5748560489,5.03096278757
342,LA ROCHE-SUR-LE-BUIS,0.30000000000000004,44.2625812469,5.34101183886
343,SAINT-AGNAN-EN-VERCORS,0.4,44.896792332,5.44160263815
344,SAINT-MARTIN-LE-COLONEL,0.2,44.9852575045,5.27975659014
345,SAINT-PAUL-LES-ROMANS,1.7000000000000002,45.0586462417,5.12685510741
346,TAULIGNAN,1.6,44.4589108654,4.97848630034
347,LES TONILS,0.0,44.5863590312,5.21024609596
348,VALDROME,0.1,44.4979512918,5.56721863741
349,VERCOIRAN,0.1,44.2937794965,5.35057643289
350,BOISEMONT,0.8,49.2925439055,1.49018837893
